date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:19	25266/25266	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:17%20GMT	http://www.w3schools.com/js/js_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/js/js_examples.html	(from )
09:57:20	34362/34362	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:19%20GMT	http://www.w3schools.com/htmldom/dom_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/htmldom/dom_examples.html	(from )
09:57:22	33375/33375	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:20%20GMT	http://www.w3schools.com/dom/dom_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/dom/dom_examples.html	(from )
09:57:23	26544/26544	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:21%20GMT	http://www.w3schools.com/dhtml/dhtml_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/dhtml/dhtml_examples.html	(from )
09:57:24	19536/19536	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:23%20GMT	http://www.w3schools.com/ajax/ajax_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/ajax/ajax_examples.html	(from )
09:57:26	31255/31255	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:24%20GMT	http://www.w3schools.com/asp/asp_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/asp/asp_examples.html	(from )
09:57:27	29237/29237	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:25%20GMT	http://www.w3schools.com/aspnet/aspnet_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/aspnet/aspnet_examples.html	(from )
09:57:28	29058/29058	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:26%20GMT	http://www.w3schools.com/aspnet/webpages_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/aspnet/webpages_examples.html	(from )
09:57:29	25810/25810	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:27%20GMT	http://www.w3schools.com/svg/svg_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/svg/svg_examples.html	(from )
09:57:31	30656/30656	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:29%20GMT	http://www.w3schools.com/tags/ref_charactersets.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/tags/ref_charactersets.html	(from )
09:57:32	37145/37145	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:30%20GMT	http://www.w3schools.com/tags/ref_ascii.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/tags/ref_ascii.html	(from )
09:57:34	38842/38842	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:32%20GMT	http://www.w3schools.com/tags/ref_entities.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/tags/ref_entities.html	(from )
09:57:35	44001/44001	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:33%20GMT	http://www.w3schools.com/tags/ref_symbols.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/tags/ref_symbols.html	(from )
09:57:37	21787/21787	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:36%20GMT	http://www.w3schools.com/books/default.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/books/default.html	(from )
09:57:38	23098/23098	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:37%20GMT	http://www.w3schools.com/html/html_quiz.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/html/html_quiz.html	(from )
09:57:39	25732/25732	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:38%20GMT	http://www.w3schools.com/html/html_xhtml.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/html/html_xhtml.html	(from )
09:57:41	22153/22153	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:40%20GMT	http://www.w3schools.com/css/css_quiz.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/css/css_quiz.html	(from )
09:57:42	21827/21827	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:41%20GMT	http://www.w3schools.com/js/js_quiz.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/js/js_quiz.html	(from )
09:57:43	19573/19573	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:42%20GMT	http://www.w3schools.com/xml/xml_quiz.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xml/xml_quiz.html	(from )
